#ITitle	MINI-LIGNE.180614.16H																			
#IInfo	 																			
#IVersion	9																			
#IDate	02/00/2048																			
!Data	Type:	F-Freq.	Domain	S-Stream	Data	T-Time	Domain													
#ST																				
!--------------------------------------																				
!System	Section																			
#SNAME	MINI_LIGNE18061416H																			
#SGDflt	0																			
#SR50Hz																				
#SHiNse																				
#SMuxN	1																			
#SXcale	1																			
#SOffset	0																			
!TX	Section																			
#XMXVlt	480																			
#XCurMx	2500																			
#XPowMx	250																			
#XVTrgt	50																			
#XITrgt	30																			
#XBtVmn	9																			
#XTmpMx	70																			
#XLrRes	1																			
#XUpRes	200000																			
!TDIP	Section																			
#TFrequ	5																			
#TStcks	3																			
#TRDely	29.999																			
#TLngtR	59.999																			
#TChrg																				
#TIPDly	2.222																			
#TNResOnly																				
!ERTLab	Header	Info																		
Electrodes	input/output	format																		
378	1	14	1	18	1	26	1	30	-7.588148	-0.000027	-0.079337	0	10.45539	5347	20480200_211330	CH	2	GN	3	49.5
379	1	15	1	18	1	21	1	24	-91.56381	0	-1.098736	0	11.99967	5096	20480200_211332	CH	1	GN	1	50.5
380	1	15	1	18	1	24	1	27	-18.64319	0	-0.223712	0	11.99967	5096	20480200_211332	CH	2	GN	2	50.5
381	1	15	1	18	1	27	1	30	-4.932575	0	-0.059189	0	11.99967	5096	20480200_211332	CH	3	GN	3	50.5
382	1	16	1	18	1	20	1	22	-147.339	0.178909	-1.906339	0.002314	12.93845	3882	20480200_211334	CH	1	GN	1	39.8
383	1	16	1	18	1	22	1	24	-51.24534	0.06983	-0.663035	0.000903	12.93845	3882	20480200_211334	CH	2	GN	1	39.8
384	1	16	1	18	1	24	1	26	-15.7682	0.024047	-0.204016	0.000311	12.93845	3882	20480200_211334	CH	3	GN	2	39.8
385	1	16	1	18	1	26	1	28	-3.172995	0.004582	-0.041053	0.000059	12.93845	3882	20480200_211334	CH	4	GN	3	39.8
386	1	16	1	18	1	28	1	30	-3.134387	0.004193	-0.040554	0.000054	12.93845	3882	20480200_211334	CH	5	GN	3	39.8
387	1	16	1	18	1	30	1	32	-1.50549	0.00221	-0.019478	0.000028	12.93845	3882	20480200_211334	CH	6	GN	3	39.8
388	1	17	1	18	1	19	1	20	-199.9271	0.233412	-2.216764	0.002588	11.08786	4056	20480200_211336	CH	1	GN	1	39.5
389	1	17	1	18	1	20	1	21	-85.07684	0.066532	-0.94332	0.000737	11.08786	4056	20480200_211336	CH	2	GN	1	39.5
390	1	17	1	18	1	21	1	22	-26.29784	0.02441	-0.291586	0.00027	11.08786	4056	20480200_211336	CH	3	GN	2	39.5
391	1	17	1	18	1	22	1	23	-20.96006	0.02063	-0.232402	0.000228	11.08786	4056	20480200_211336	CH	4	GN	1	39.5
392	1	17	1	18	1	23	1	24	-12.54396	0.012633	-0.139085	0.00014	11.08786	4056	20480200_211336	CH	5	GN	1	39.5
393	1	17	1	18	1	24	1	25	-7.844792	0.008933	-0.086982	0.000099	11.08786	4056	20480200_211336	CH	6	GN	2	39.5
394	1	17	1	18	1	25	1	26	-1.477882	0.001681	-0.016386	0.000018	11.08786	4056	20480200_211336	CH	7	GN	3	39.5
395	1	17	1	18	1	26	1	27	-0.967373	0.000998	-0.010726	0.000011	11.08786	4056	20480200_211336	CH	8	GN	4	39.5
396	1	15	1	19	1	23	1	27	-66.60823	0	-0.770393	0	11.56603	5096	20480200_211338	CH	1	GN	1	49.5
397	1	15	1	19	1	27	1	31	-8.484511	-0.000024	-0.098132	0	11.56603	5096	20480200_211338	CH	2	GN	2	49.5
398	1	16	1	19	1	22	1	25	-118.0227	0.084294	-1.515861	0.001082	12.8438	4056	20480200_211340	CH	1	GN	1	40.5
399	1	16	1	19	1	25	1	28	-9.235034	0.007179	-0.118612	0.000092	12.8438	4056	20480200_211340	CH	2	GN	2	40.5
400	1	16	1	19	1	28	1	31	-5.867354	0.004224	-0.075359	0.000054	12.8438	4056	20480200_211340	CH	3	GN	2	40.5
401	1	17	1	19	1	21	1	23	-119.5119	0.149392	-1.388865	0.001736	11.62114	4434	20480200_211342	CH	1	GN	1	44.3
402	1	17	1	19	1	23	1	25	-44.8223	0.059705	-0.520886	0.000693	11.62114	4434	20480200_211342	CH	2	GN	1	44.3
403	1	17	1	19	1	25	1	27	-5.076178	0.006871	-0.058991	0.000079	11.62114	4434	20480200_211342	CH	3	GN	3	44.3
404	1	17	1	19	1	27	1	29	-3.424564	0.004603	-0.039797	0.000053	11.62114	4434	20480200_211342	CH	4	GN	3	44.3
405	1	17	1	19	1	29	1	31	-1.999956	0.00275	-0.023241	0.000031	11.62114	4434	20480200_211342	CH	5	GN	2	44.3
406	1	18	1	19	1	20	1	21	-192.3952	0.127033	-2.146878	0.001417	11.15868	4434	20480200_211344	CH	1	GN	1	41
407	1	18	1	19	1	21	1	22	-43.08027	0.036671	-0.480719	0.000409	11.15868	4434	20480200_211344	CH	2	GN	1	41
408	1	18	1	19	1	22	1	23	-29.15914	0.029707	-0.325377	0.000331	11.15868	4434	20480200_211344	CH	3	GN	1	41
409	1	18	1	19	1	23	1	24	-15.42495	0.015203	-0.172122	0.000169	11.15868	4434	20480200_211344	CH	4	GN	1	41
410	1	18	1	19	1	24	1	25	-8.987906	0.010249	-0.100293	0.000114	11.15868	4434	20480200_211344	CH	5	GN	2	41
411	1	18	1	19	1	25	1	26	-1.599768	0.001811	-0.017851	0.00002	11.15868	4434	20480200_211344	CH	6	GN	3	41
412	1	18	1	19	1	26	1	27	-1.028171	0.001071	-0.011473	0.000011	11.15868	4434	20480200_211344	CH	7	GN	4	41
413	1	18	1	19	1	27	1	28	-0.735231	0.000757	-0.008204	0.000008	11.15868	4434	20480200_211344	CH	8	GN	4	41
414	1	16	1	20	1	24	1	28	-56.22299	0.042015	-0.547572	0.000409	9.7393	5904	20480200_211346	CH	1	GN	1	50.6
415	1	16	1	20	1	28	1	32	-11.06254	0.005871	-0.107741	0.000057	9.7393	5904	20480200_211346	CH	2	GN	2	50.6
416	1	17	1	20	1	23	1	26	-105.8895	0.077657	-0.882228	0.000647	8.331588	6552	20480200_211348	CH	1	GN	1	49.5
417	1	17	1	20	1	26	1	29	-10.27247	0.007519	-0.085585	0.000062	8.331588	6552	20480200_211348	CH	2	GN	3	49.5
418	1	17	1	20	1	29	1	32	-5.078732	0.003069	-0.042313	0.000025	8.331588	6552	20480200_211348	CH	3	GN	3	49.5
419	1	18	1	20	1	22	1	24	-166.0614	0.156434	-1.338875	0.001261	8.062535	7291	20480200_211350	CH	1	GN	1	50
420	1	18	1	20	1	24	1	26	-32.43247	0.034748	-0.261487	0.00028	8.062535	7291	20480200_211350	CH	2	GN	2	50
421	1	18	1	20	1	26	1	28	-4.921168	0.003364	-0.039677	0.000027	8.062535	7291	20480200_211350	CH	3	GN	3	50
422	1	18	1	20	1	28	1	30	-4.396164	0.005494	-0.035444	0.000044	8.062535	7291	20480200_211350	CH	4	GN	3	50
423	1	18	1	20	1	30	1	32	-1.989115	0.002569	-0.016037	0.00002	8.062535	7291	20480200_211350	CH	5	GN	3	50
424	1	19	1	20	1	21	1	22	-178.2156	0.220857	-1.583572	0.001962	8.885713	6216	20480200_211352	CH	1	GN	1	50.5
425	1	19	1	20	1	22	1	23	-85.0906	0.100368	-0.75609	0.000891	8.885713	6216	20480200_211352	CH	2	GN	1	50.5
426	1	19	1	20	1	23	1	24	-36.17675	0.043077	-0.321456	0.000382	8.885713	6216	20480200_211352	CH	3	GN	1	50.5
427	1	19	1	20	1	24	1	25	-18.79852	0.024081	-0.167038	0.000213	8.885713	6216	20480200_211352	CH	4	GN	2	50.5
428	1	19	1	20	1	25	1	26	-2.992733	0	-0.026592	0	8.885713	6216	20480200_211352	CH	5	GN	3	50.5
429	1	19	1	20	1	26	1	27	-1.841686	0.003597	-0.016364	0.000031	8.885713	6216	20480200_211352	CH	6	GN	4	50.5
430	1	19	1	20	1	27	1	28	-1.274552	0.007123	-0.011325	0.000063	8.885713	6216	20480200_211352	CH	7	GN	3	50.5
431	1	19	1	20	1	28	1	29	-1.724026	0.007964	-0.015319	0.00007	8.885713	6216	20480200_211352	CH	8	GN	4	50.5
432	1	17	1	21	1	25	1	29	-31.11934	0.006786	-0.234563	0.000051	7.537554	7644	20480200_211354	CH	1	GN	2	49.3
433	1	18	1	21	1	24	1	27	-85.58982	0.057021	-0.614225	0.000409	7.17639	8020	20480200_211356	CH	1	GN	1	50
434	1	18	1	21	1	27	1	30	-13.62822	0.006172	-0.097801	0.000044	7.17639	8020	20480200_211356	CH	2	GN	2	50
435	1	19	1	21	1	23	1	25	-188.7075	0.217012	-1.378133	0.001584	7.303013	7503	20480200_211358	CH	1	GN	1	49.7
436	1	19	1	21	1	25	1	27	-14.29792	0.016048	-0.104417	0.000117	7.303013	7503	20480200_211358	CH	2	GN	2	49.7
437	1	19	1	21	1	27	1	29	-8.376279	0.008928	-0.061172	0.000065	7.303013	7503	20480200_211358	CH	3	GN	3	49.7
438	1	19	1	21	1	29	1	31	-4.562757	0.005537	-0.033321	0.00004	7.303013	7503	20480200_211358	CH	4	GN	2	49.7
439	1	20	1	21	1	22	1	23	-334.8273	0.209025	-2.072829	0.001294	6.19074	8857	20480200_211400	CH	1	GN	1	50.1
440	1	20	1	21	1	23	1	24	-92.87009	0.057243	-0.574934	0.000354	6.19074	8857	20480200_211400	CH	2	GN	1	50.1
441	1	20	1	21	1	24	1	25	-40.85146	0.038754	-0.2529	0.000239	6.19074	8857	20480200_211400	CH	3	GN	2	50.1
442	1	20	1	21	1	25	1	26	-5.921572	0.004618	-0.036658	0.000028	6.19074	8857	20480200_211400	CH	4	GN	3	50.1
443	1	20	1	21	1	26	1	27	-3.559168	0.002309	-0.022033	0.000014	6.19074	8857	20480200_211400	CH	5	GN	3	50.1
444	1	20	1	21	1	27	1	28	-2.357473	0.001549	-0.014594	0.000009	6.19074	8857	20480200_211400	CH	6	GN	3	50.1
445	1	20	1	21	1	28	1	29	-3.021431	0.002065	-0.018704	0.000012	6.19074	8857	20480200_211400	CH	7	GN	3	50.1
446	1	20	1	21	1	29	1	30	-1.796493	0.001366	-0.011121	0.000008	6.19074	8857	20480200_211400	CH	8	GN	4	50.1
447	1	18	1	22	1	26	1	30	-31.15309	-0.000257	-0.273628	-0.000002	8.783334	6216	20480200_211402	CH	1	GN	2	50.5
448	1	19	1	22	1	25	1	28	-31.20982	0.027057	-0.276734	0.000239	8.866903	6216	20480200_211404	CH	1	GN	2	50.5
449	1	19	1	22	1	28	1	31	-14.80486	0.011537	-0.131273	0.000102	8.866903	6216	20480200_211404	CH	2	GN	2	50.5
450	1	20	1	22	1	24	1	26	-106.1208	0.103827	-0.754	0.000737	7.105112	8020	20480200_211406	CH	1	GN	1	52
451	1	20	1	22	1	26	1	28	-12.47192	0.008048	-0.088614	0.000057	7.105112	8020	20480200_211406	CH	2	GN	3	52
452	1	20	1	22	1	28	1	30	-9.378704	0.00509	-0.066636	0.000036	7.105112	8020	20480200_211406	CH	3	GN	3	52
453	1	20	1	22	1	30	1	32	-3.976119	0.00238	-0.02825	0.000016	7.105112	8020	20480200_211406	CH	4	GN	3	52
454	1	21	1	22	1	23	1	24	-153.7042	0.079881	-1.11352	0.000578	7.24456	7644	20480200_211408	CH	1	GN	1	49.8
455	1	21	1	22	1	24	1	25	-52.62121	0.048917	-0.381217	0.000354	7.24456	7644	20480200_211408	CH	2	GN	2	49.8
456	1	21	1	22	1	25	1	26	-6.721881	0.005295	-0.048697	0.000038	7.24456	7644	20480200_211408	CH	3	GN	3	49.8
457	1	21	1	22	1	26	1	27	-3.95348	0.002647	-0.028641	0.000019	7.24456	7644	20480200_211408	CH	4	GN	3	49.8
458	1	21	1	22	1	27	1	28	-2.613101	0.002335	-0.01893	0.000016	7.24456	7644	20480200_211408	CH	5	GN	3	49.8
459	1	21	1	22	1	28	1	29	-2.904941	0.001765	-0.021045	0.000012	7.24456	7644	20480200_211408	CH	6	GN	3	49.8
460	1	21	1	22	1	29	1	30	-1.640328	0.001395	-0.011883	0.00001	7.24456	7644	20480200_211408	CH	7	GN	4	49.8
461	1	21	1	22	1	30	1	31	-0.942494	0.000764	-0.006827	0.000005	7.24456	7644	20480200_211408	CH	8	GN	2	49.8
462	1	19	1	23	1	27	1	31	-36.27291	0.027098	-0.362292	0.00027	9.987971	4641	20480200_211410	CH	1	GN	2	40
463	1	20	1	23	1	26	1	29	-36.85295	0.028864	-0.319942	0.00025	8.681609	6552	20480200_211412	CH	1	GN	2	50.5
464	1	20	1	23	1	29	1	32	-13.85662	0.011409	-0.120297	0.000099	8.681609	6552	20480200_211412	CH	2	GN	2	50.5
465	1	21	1	23	1	25	1	27	-33.31267	0.032912	-0.273957	0.00027	8.223835	6384	20480200_211414	CH	1	GN	2	49.7
466	1	21	1	23	1	27	1	29	-15.97389	0.013907	-0.131366	0.000114	8.223835	6384	20480200_211414	CH	2	GN	2	49.7
467	1	21	1	23	1	29	1	31	-7.338394	0.006022	-0.060349	0.000049	8.223835	6384	20480200_211414	CH	3	GN	2	49.7
468	1	22	1	23	1	24	1	25	-143.0313	0.179475	-1.344594	0.001687	9.400691	4861	20480200_211416	CH	1	GN	1	40
469	1	22	1	23	1	25	1	26	-14.6225	0.010882	-0.137461	0.000102	9.400691	4861	20480200_211416	CH	2	GN	2	40
470	1	22	1	23	1	26	1	27	-7.990071	0.004712	-0.075112	0.000044	9.400691	4861	20480200_211416	CH	3	GN	3	40
471	1	22	1	23	1	27	1	28	-4.963223	0.003598	-0.046657	0.000033	9.400691	4861	20480200_211416	CH	4	GN	3	40
472	1	22	1	23	1	28	1	29	-5.487284	0.003041	-0.051584	0.000028	9.400691	4861	20480200_211416	CH	5	GN	3	40
473	1	22	1	23	1	29	1	30	-3.025162	0.001923	-0.028438	0.000018	9.400691	4861	20480200_211416	CH	6	GN	3	40
474	1	22	1	23	1	30	1	31	-1.736954	0.001442	-0.016328	0.000013	9.400691	4861	20480200_211416	CH	7	GN	2	40
475	1	22	1	23	1	31	1	32	-1.659535	0.001178	-0.0156	0.000011	9.400691	4861	20480200_211416	CH	8	GN	3	40
476	1	20	1	24	1	28	1	32	-41.4137	0.011583	-0.365739	0.000102	8.831362	6216	20480200_211418	CH	1	GN	2	50
477	1	21	1	24	1	27	1	30	-39.60193	0.019732	-0.324629	0.000161	8.197316	6961	20480200_211418	CH	1	GN	2	49.7
478	1	22	1	24	1	26	1	28	-32.99188	0.020964	-0.359983	0.000228	10.91127	5096	20480200_211420	CH	1	GN	2	50.3
479	1	22	1	24	1	28	1	30	-20.20781	0.010482	-0.220493	0.000114	10.91127	5096	20480200_211420	CH	2	GN	2	50.3
480	1	22	1	24	1	30	1	32	-7.834089	0.004385	-0.085479	0.000047	10.91127	5096	20480200_211420	CH	3	GN	2	50.3
481	1	23	1	24	1	25	1	26	-26.67072	0.021761	-0.469122	0.000382	17.58943	2808	20480200_211422	CH	1	GN	1	42.5
482	1	23	1	24	1	26	1	27	-12.75865	0.009196	-0.224417	0.000161	17.58943	2808	20480200_211422	CH	2	GN	2	42.5
483	1	23	1	24	1	27	1	28	-7.269715	0.005816	-0.12787	0.000102	17.58943	2808	20480200_211422	CH	3	GN	2	42.5
484	1	23	1	24	1	28	1	29	-7.647133	0.005036	-0.134508	0.000088	17.58943	2808	20480200_211422	CH	4	GN	2	42.5
485	1	23	1	24	1	29	1	30	-4.051332	0.00272	-0.07126	0.000047	17.58943	2808	20480200_211422	CH	5	GN	3	42.5
486	1	23	1	24	1	30	1	31	-2.28659	0.001625	-0.040219	0.000028	17.58943	2808	20480200_211422	CH	6	GN	2	42.5
487	1	23	1	24	1	31	1	32	-2.148075	0.00136	-0.037783	0.000023	17.58943	2808	20480200_211422	CH	7	GN	2	42.5
488	1	22	1	25	1	28	1	31	-81.65761	0	-0.83863	0	10.27009	5347	20480200_211424	CH	1	GN	1	49.5
489	1	23	1	25	1	27	1	29	-89.05786	0.06709	-1.273896	0.000959	14.30414	3108	20480200_211426	CH	1	GN	1	42
490	1	23	1	25	1	29	1	31	-29.26527	0.021455	-0.418614	0.000306	14.30414	3108	20480200_211426	CH	2	GN	1	42
491	1	24	1	25	1	26	1	27	-96.57808	0.167649	-1.633191	0.002835	16.91058	2808	20480200_211428	CH	1	GN	1	42
492	1	24	1	25	1	27	1	28	-39.5821	0.049146	-0.669356	0.000831	16.91058	2808	20480200_211428	CH	2	GN	1	42
493	1	24	1	25	1	28	1	29	-34.65431	0.035274	-0.586024	0.000596	16.91058	2808	20480200_211428	CH	3	GN	1	42
494	1	24	1	25	1	29	1	30	-14.82749	0.015423	-0.250741	0.00026	16.91058	2808	20480200_211428	CH	4	GN	2	42
495	1	24	1	25	1	30	1	31	-8.120505	0.008818	-0.137322	0.000149	16.91058	2808	20480200_211428	CH	5	GN	2	42
496	1	24	1	25	1	31	1	32	-6.978502	0.007711	-0.11801	0.00013	16.91058	2808	20480200_211428	CH	6	GN	2	42
497	1	23	1	26	1	29	1	32	-95.03217	0.026998	-1.01848	0.000289	10.71722	4056	20480200_211430	CH	1	GN	1	36
498	1	24	1	26	1	28	1	30	-158.09	0.077035	-2.056993	0.001002	13.01153	3276	20480200_211432	CH	1	GN	1	39
499	1	24	1	26	1	30	1	32	-43.16678	0.022238	-0.561666	0.000289	13.01153	3276	20480200_211432	CH	2	GN	1	39
500	1	25	1	26	1	27	1	28	-108.8034	0.123284	-1.731965	0.001962	15.9183	2808	20480200_211434	CH	1	GN	1	40
501	1	25	1	26	1	28	1	29	-80.17159	0.0704	-1.276195	0.00112	15.9183	2808	20480200_211434	CH	2	GN	1	40
502	1	25	1	26	1	29	1	30	-28.64225	0.030143	-0.455936	0.000479	15.9183	2808	20480200_211434	CH	3	GN	2	40
503	1	25	1	26	1	30	1	31	-15.7806	0.01437	-0.2512	0.000228	15.9183	2808	20480200_211434	CH	4	GN	2	40
504	1	25	1	26	1	31	1	32	-12.28724	0.012023	-0.195592	0.000191	15.9183	2808	20480200_211434	CH	5	GN	2	40
505	1	25	1	27	1	29	1	31	-112.1313	0.045903	-1.413644	0.000578	12.60704	3882	20480200_211436	CH	1	GN	1	40.8
506	1	26	1	27	1	28	1	29	-195.8712	0.14159	-2.655152	0.001919	13.5556	3718	20480200_211438	CH	1	GN	1	42
507	1	26	1	27	1	29	1	30	-43.15341	0.039933	-0.58497	0.000541	13.5556	3718	20480200_211438	CH	2	GN	1	42
508	1	26	1	27	1	30	1	31	-24.55279	0.016875	-0.332827	0.000228	13.5556	3718	20480200_211438	CH	3	GN	2	42
509	1	26	1	27	1	31	1	32	-15.55589	0.014118	-0.210869	0.000191	13.5556	3718	20480200_211438	CH	4	GN	2	42
510	1	26	1	28	1	30	1	32	-107.5834	0.039803	-1.106031	0.000409	10.28067	4434	20480200_211440	CH	1	GN	1	38.7
511	1	27	1	28	1	29	1	30	-74.07448	0.135306	-0.853051	0.001558	11.51612	4239	20480200_211442	CH	1	GN	1	42
512	1	27	1	28	1	30	1	31	-45.18921	0.021759	-0.520404	0.00025	11.51612	4239	20480200_211442	CH	2	GN	1	42
513	1	27	1	28	1	31	1	32	-22.26695	0.042137	-0.256429	0.000485	11.51612	4239	20480200_211442	CH	3	GN	2	42
514	1	28	1	29	1	30	1	31	-213.2924	0.189849	-1.340347	0.001193	6.284083	8424	20480200_211444	CH	1	GN	1	50
515	1	28	1	29	1	31	1	32	-103.0983	0.121824	-0.647878	0.000765	6.284083	8424	20480200_211444	CH	2	GN	1	50
516	1	29	1	30	1	31	1	32	-209.1777	0.334789	-1.252537	0.002004	5.98791	8857	20480200_211446	CH	1	GN	1	50.5
517	1	1	1	4	1	2	1	3	652.1527	0	4.113066	0	6.306906	8658	20480200_211448	CH	1	GN	1	50
518	1	2	1	5	1	3	1	4	690.4341	0.156356	3.613909	0.000818	5.234255	7644	20480200_211450	CH	1	GN	1	33
519	1	3	1	6	1	4	1	5	1325.741	-0.191577	4.004707	-0.000578	3.02073	12456	20480200_211452	CH	1	GN	1	35.5
520	1	1	1	7	1	3	1	5	411.687	0.107356	4.438371	0.001157	10.78093	4239	20480200_211454	CH	1	GN	1	37
521	1	4	1	7	1	5	1	6	901.9673	0	3.390484	0	3.758988	9828	20480200_211456	CH	1	GN	1	32.5
522	1	2	1	8	1	4	1	6	498.9938	0	3.155291	0	6.323307	4301	20480200_211458	CH	1	GN	1	22.1
523	1	5	1	8	1	6	1	7	666.8751	0.230334	3.350984	0.001157	5.024905	7644	20480200_211500	CH	1	GN	1	32
524	1	3	1	9	1	5	1	7	261.521	0.157977	2.709645	0.001636	10.36109	4641	20480200_211502	CH	1	GN	1	39.5
525	1	6	1	9	1	7	1	8	695.3177	0.566206	3.481532	0.002835	5.00711	11232	20480200_211504	CH	1	GN	1	51
526	1	1	1	10	1	4	1	7	194.633	0	2.996222	0	15.39421	2808	20480200_211506	CH	1	GN	1	37
527	1	4	1	10	1	6	1	8	295.2291	0.063999	1.887654	0.000409	6.393861	8857	20480200_211508	CH	1	GN	1	49.5
528	1	7	1	10	1	8	1	9	369.1076	0	3.113544	0	8.43533	3882	20480200_211510	CH	1	GN	1	25
529	1	2	1	11	1	5	1	8	204.4346	0.056005	2.112413	0.000578	10.33295	4434	20480200_211512	CH	1	GN	1	38
530	1	5	1	11	1	7	1	9	420.4745	0	3.135138	0	7.45619	7644	20480200_211514	CH	1	GN	1	49.5
531	1	8	1	11	1	9	1	10	219.1046	0.178624	2.559402	0.002086	11.68118	4056	20480200_211516	CH	1	GN	1	40
532	1	3	1	12	1	6	1	9	230.3205	0.062609	2.128863	0.000578	9.243045	5904	20480200_211518	CH	1	GN	1	49.5
533	1	6	1	12	1	8	1	10	288.9158	0.134423	1.243805	0.000578	4.305079	13104	20480200_211520	CH	1	GN	1	50.5
534	1	9	1	12	1	10	1	11	248.5808	-0.024504	2.935238	-0.000289	11.80798	4056	20480200_211522	CH	1	GN	1	39
535	1	1	1	13	1	5	1	9	137.2522	-0.003779	1.313601	-0.000036	9.570717	6216	20480200_211524	CH	1	GN	1	50.6
536	1	4	1	13	1	7	1	10	183.325	0.04386	0.855178	0.000204	4.66482	11809	20480200_211526	CH	1	GN	1	49.5
537	1	7	1	13	1	9	1	11	90.67317	0.048227	0.769346	0.000409	8.484836	6552	20480200_211528	CH	1	GN	1	50
538	1	10	1	13	1	11	1	12	311.5637	0.536228	3.225131	0.00555	10.35143	5347	20480200_211530	CH	1	GN	1	48.6
539	1	2	1	14	1	6	1	10	147.2689	-0.014488	1.470558	-0.000144	9.985527	4861	20480200_211532	CH	1	GN	1	43
540	1	5	1	14	1	8	1	11	150.658	0.043025	1.013201	0.000289	6.725177	8424	20480200_211534	CH	1	GN	1	48.8
541	1	8	1	14	1	10	1	12	166.8328	0	1.666899	0	9.991436	4861	20480200_211536	CH	1	GN	1	41.5
542	1	11	1	14	1	12	1	13	1072.448	0	6.423841	0	5.989881	7020	20480200_211540	CH	1	GN	1	25.5
543	1	3	1	15	1	7	1	11	119.9837	0.028172	1.232309	0.000289	10.27063	5616	20480200_211542	CH	1	GN	1	49.5
544	1	6	1	15	1	9	1	12	107.7621	0.060752	0.480103	0.00027	4.455212	12432	20480200_211542	CH	1	GN	1	50.2
545	1	9	1	15	1	11	1	13	450.1163	0.137852	3.779182	0.001157	8.396012	4056	20480200_211546	CH	1	GN	1	25.5
546	1	12	1	15	1	13	1	14	226.0535	0.172387	2.146384	0.001636	9.495028	4861	20480200_211548	CH	1	GN	1	41
547	1	1	1	16	1	6	1	11	87.95663	0	1.522589	0	17.31068	2673	20480200_211548	CH	1	GN	1	40.5
548	1	4	1	16	1	8	1	12	92.38057	0	0.59409	0	6.430902	8857	20480200_211550	CH	1	GN	1	49.6
549	1	7	1	16	1	10	1	13	164.5689	0.041515	2.293992	0.000578	13.93939	3276	20480200_211552	CH	1	GN	1	41
550	1	10	1	16	1	12	1	14	258.834	0.13035	3.250197	0.001636	12.55707	2360	20480200_211554	CH	1	GN	1	23.5
551	1	13	1	16	1	14	1	15	715.7667	0.851932	4.125617	0.00491	5.763914	5559	20480200_211558	CH	1	GN	1	26
552	1	2	1	17	1	7	1	12	80.9891	0.03229	0.888832	0.000354	10.97471	4239	20480200_211600	CH	1	GN	1	39.5
553	1	5	1	17	1	9	1	13	82.00113	0	0.631041	0	7.695523	7644	20480200_211602	CH	1	GN	1	50.1
554	1	8	1	17	1	11	1	14	112.8984	0.025094	1.301792	0.000289	11.53065	4239	20480200_211604	CH	1	GN	1	40
555	1	11	1	17	1	13	1	15	98.62672	0.039687	1.016921	0.000409	10.3108	4434	20480200_211606	CH	1	GN	1	37
556	1	14	1	17	1	15	1	16	381.3097	0.318207	3.922821	0.003273	10.28775	4641	20480200_211606	CH	1	GN	1	42
557	1	3	1	18	1	8	1	13	80.18434	0	0.778371	0	9.707272	5904	20480200_211608	CH	1	GN	1	50.5
558	1	6	1	18	1	10	1	14	82.68716	0.033307	0.35916	0.000144	4.34361	13104	20480200_211610	CH	1	GN	1	50.5
559	1	9	1	18	1	12	1	15	140.9728	0.035857	1.608775	0.000409	11.41195	4239	20480200_211612	CH	1	GN	1	38.3
560	1	12	1	18	1	14	1	16	169.1816	0.078955	1.753645	0.000818	10.36545	5347	20480200_211614	CH	1	GN	1	50.5
561	1	15	1	18	1	16	1	17	365.7389	0.328518	3.40915	0.003062	9.321267	4861	20480200_211616	CH	1	GN	1	39.1
562	1	1	1	19	1	7	1	13	78.47159	0.019369	0.82889	0.000204	10.56294	4641	20480200_211618	CH	1	GN	1	40.5
563	1	4	1	19	1	9	1	14	56.70028	-0.00125	0.307381	-0.000006	5.421169	10694	20480200_211620	CH	1	GN	1	50
564	1	7	1	19	1	11	1	15	87.47513	0.025868	0.97847	0.000289	11.1857	5347	20480200_211622	CH	1	GN	1	50
565	1	10	1	19	1	13	1	16	83.99534	0.069965	1.042117	0.000868	12.40685	4239	20480200_211624	CH	1	GN	1	41.3
566	1	13	1	19	1	15	1	17	434.4413	0.225985	3.51809	0.00183	8.097964	7291	20480200_211626	CH	1	GN	1	50
567	1	16	1	19	1	17	1	18	386.7959	0.448703	3.155067	0.00366	8.15693	4056	20480200_211628	CH	1	GN	1	25.5
568	1	2	1	20	1	8	1	14	62.3584	0.025279	0.504699	0.000204	8.093533	7291	20480200_211630	CH	1	GN	1	50
569	1	5	1	20	1	10	1	15	64.24831	0.032586	0.349349	0.000177	5.437491	10483	20480200_211632	CH	1	GN	1	50
570	1	8	1	20	1	12	1	16	82.3056	0.030811	0.669373	0.00025	8.132782	7291	20480200_211634	CH	1	GN	1	50
571	1	11	1	20	1	14	1	17	160.9179	0.102436	1.28565	0.000818	7.98948	7291	20480200_211636	CH	1	GN	1	50.3
572	1	14	1	20	1	16	1	18	353.3669	0.328067	2.570057	0.002386	7.273056	8020	20480200_211638	CH	1	GN	1	49.5
573	1	17	1	20	1	18	1	19	406.1309	0.632149	3.366737	0.00524	8.289784	6552	20480200_211640	CH	1	GN	1	49.5
574	1	3	1	21	1	9	1	15	44.7509	0	0.286837	0	6.409641	8424	20480200_211642	CH	1	GN	1	49.5
575	1	6	1	21	1	11	1	16	69.47309	0.028612	0.248396	0.000102	3.575433	15540	20480200_211644	CH	1	GN	1	50.6
576	1	9	1	21	1	13	1	17	102.329	0.08167	0.85024	0.000678	8.308886	6961	20480200_211646	CH	1	GN	1	49.5
577	1	12	1	21	1	15	1	18	209.5679	0.134377	1.426999	0.000915	6.809247	8424	20480200_211646	CH	1	GN	1	51
578	1	15	1	21	1	17	1	19	223.6699	0.309728	1.645312	0.002278	7.355984	7862	20480200_211648	CH	1	GN	1	50.5
579	1	18	1	21	1	19	1	20	580.6142	0.640494	4.196805	0.004629	7.228215	8020	20480200_211650	CH	1	GN	1	50.7
